category,subcategory_1,subcategory_2,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
Equipment,Moovair,"",pbmat_a2fe0a9a62414260b6f4636ebc94e5e2,DMA48HOM23230X2,"Moovair -25C multi-split (Non-ducted)

Brand: Moovair
Outdoor model number: DMA48HOM23230X2
Indoor model number(s): See material list
Heat Pump AHRI number: 207742538
Tonnage: 4
HSPF: 11.00
SEER: 22.40
",DMA48HOM23230X2,$4881.60,$4881.60,true,Each,false
Equipment,Moovair,"",pbmat_a37307c7efff43aba77ceb15c7216784,DMA48HOM23230X2,"Moovair -25C multi-split (Mixed)

Brand: Moovair
Outdoor model number: DMA48HOM23230X2
Indoor model number(s): See material list
Heat Pump AHRI number: 207742540
Tonnage: 4
HSPF: 11.25
SEER: 21.45
",DMA48HOM23230X2,$4881.60,$4881.60,true,Each,false
Equipment,Moovair,"",pbmat_acd688e933e94944ad17bb3a41a668a2,DMA18HOM25230X3,"Moovair -30C multi-split (Non-ducted)

Brand: Moovair
Outdoor model number: DMA18HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742541
Tonnage: 1.5
HSPF: 10.20
SEER: 22.00
",DMA18HOM25230X3,$2988.90,$2988.90,true,Each,false
Equipment,Moovair,"",pbmat_3c10c1371e184ce29976141a192fd818,DMA18HOM25230X3,"Moovair -30C multi-split (Mixed)

Brand: Moovair
Outdoor model number: DMA18HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742543
Tonnage: 1.5
HSPF: 10.00
SEER: 20.50",DMA18HOM25230X3,$2988.90,$2988.90,true,Each,false
Equipment,Moovair,"",pbmat_6c70cb9878e946dea9e3f0610e192327,DMA27HOM25230X3,"Moovair -30C multi-split (Non-ducted)

Brand: Moovair
Outdoor model number: DMA27HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742544
Tonnage: 2
HSPF: 11.30
SEER: 22.50
",DMA27HOM25230X3,$3843.00,$3843.00,true,Each,false
Equipment,Moovair,"",pbmat_0ca7307d63554e2a9595c0acc130c37b,DMA27HOM25230X3,"Moovair -30C multi-split (Mixed)

Brand: Moovair
Outdoor model number: DMA27HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742546
Tonnage: 2.25
HSPF: 10.70
SEER: 21.25",DMA27HOM25230X3,$3843.00,$3843.00,true,Each,false
Equipment,Moovair,"",pbmat_9c94415d77ff4c5a822eb3e9b31f6bbc,DMA36HOM25230X3,"Moovair -30C multi-split (Non-ducted)

Brand: Moovair
Outdoor model number: 
Indoor model number(s): See material list
Heat Pump AHRI number: 207742547
Tonnage: 3
HSPF: 11.00
SEER: 21.80",DMA36HOM25230X3,$4918.50,$4918.50,true,Each,false
Equipment,Moovair,"",pbmat_2273295afd4541c2a56c2e3dab750954,DMA36HOM25230X3,"Moovair -30C multi-split (Mixed)

Brand: Moovair
Outdoor model number: DMA36HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742549
Tonnage: 3
HSPF: 11.00
SEER: 20.40",DMA36HOM25230X3,$4918.50,$4918.50,true,Each,false
Equipment,Moovair,"",pbmat_f87be58f6fc44d6986d487f1a29ab2a2,DMA48HOM25230X3,"Moovair -30C multi-split (Non-ducted)

Brand: Moovair
Outdoor model number: DMA48HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742550
Tonnage: 4
HSPF: 11.00
SEER: 21.50",DMA48HOM25230X3,$5801.50,$5801.50,true,Each,false
Equipment,Moovair,"",pbmat_d044e2e8011947bfb521b38d3bbe899c,DMA48HOM25230X3,"Moovair -30C multi-split (Mixed)

Brand: Moovair
Outdoor model number: DMA48HOM25230X3
Indoor model number(s): See material list
Heat Pump AHRI number: 207742552
Tonnage: 4
HSPF: 10.75
SEER: 20.85",DMA48HOM25230X3,$5801.50,$5801.50,true,Each,false
